Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,ff5e,0,1ffffffc,00000000
1,1,0,ff5e,0,1ffffffc,00000000
2,2,0,ff5e,0,000003bc,00000000
3,3,0,ff5e,0,000003c0,00000000
4,4,0,ff5e,0,000003c0,b530bd00
5,5,0,ff5e,0,000003c4,25004604
6,6,0,ff5e,0,000003c8,f44fe005
7,7,0,ff5e,0,000003c8,00000000
8,8,0,ff5e,0,000003c8,00000000
9,9,0,ff5e,0,000003c8,00000000
10,10,0,ff5e,0,000003c8,00000000
11,11,0,ff5e,0,000003e4,00000000
12,12,0,ff5e,0,000003e8,1c60ffdc
13,13,0,ff5e,0,000003ec,429cb284
14,14,0,ff5e,0,000003f0,bd10dbf8
15,15,0,ff5e,0,000003f4,4825b086
16,16,0,ff5e,0,000003e0,f44f6800
17,17,0,ff5e,0,000003e4,f7ff2032
18,18,0,ff5e,0,000003e8,1c60ffdc
19,19,0,ff5e,0,0000039c,429cb284
20,20,0,ff5e,0,000003a0,b5004770
21,21,0,ff5e,0,000003a4,20004602
22,22,0,ff5e,0,000003a8,ff88f7ff
23,23,0,ff5e,0,000003ac,f7ff4610
24,24,0,ff5e,0,000003ac,00000000
25,25,0,ff5e,0,000002b8,2000ff89
26,26,0,ff5e,0,000002bc,21e0f04f
27,27,0,ff5e,0,000002c0,47706108
28,28,0,ff5e,0,000002c4,21e0f04f
29,29,0,ff5e,0,000002c8,47706148
30,30,0,ff5e,0,000003a8,00000000
31,31,0,ff5e,0,0000003c,00000000
32,32,0,ff5e,0,000003ac,000002ed
33,33,0,ff5e,0,000002f0,00000000
34,34,0,ff5e,0,000002f0,00000000
35,35,0,ff5e,0,000002ec,00000000
36,36,0,ff5e,0,000002f0,68004802
37,37,0,ff5e,0,000002f4,49011c40
38,38,0,ff5e,0,000002f8,47706008
39,39,0,ff5e,0,000002f8,00000000
40,40,0,ff5e,0,000002f8,00000000
41,41,0,ff5e,0,000002f8,00000000
42,42,0,ff5e,0,000002f8,20000004
43,43,0,ff5e,0,000002f8,00000000
44,44,0,ff5e,0,000002fc,00000000
45,45,0,ff5e,0,000002fc,20000004
46,46,0,ff5e,0,00000300,4811b51f
47,47,0,ff5e,0,00000300,00000000
48,48,0,ff5e,0,00000300,20000004
49,49,0,ff5e,0,1ffffff8,00000000
50,50,0,ff5e,0,1ffffffc,00000000
51,51,0,ff5e,0,1ffffffc,00000000
52,52,0,ff5e,0,1ffffffc,00000000
53,53,0,ff5e,0,000002bc,00000000
54,54,0,ff5e,0,000002c0,00000000
55,55,0,ff5e,0,000002c0,47706108
56,56,0,ff5e,0,000002c4,21e0f04f
57,57,0,ff5e,0,000002c8,47706148
58,58,0,ff5e,0,000002c8,00000000
59,59,0,ff5e,0,000002c8,00000000
60,60,0,ff5e,0,000003a8,00000000
61,61,0,ff5e,0,000003ac,f7ff4610
62,62,0,ff5e,0,000003b0,2000ff89
63,63,0,ff5e,0,000003b0,00000000
64,64,0,ff5e,0,000002c0,ff8af7ff
65,65,0,ff5e,0,000002c4,21e0f04f
66,66,0,ff5e,0,000002c8,47706148
67,67,0,ff5e,0,000002cc,21e0f04f
68,68,0,ff5e,0,000002d0,47706188
69,69,0,ff5e,0,000003ac,00000000
70,70,0,ff5e,0,000003b0,2000ff89
71,71,0,ff5e,0,000003b4,ff8af7ff
72,72,0,ff5e,0,000003b4,00000000
73,73,0,ff5e,0,000002c8,f7ff2007
74,74,0,ff5e,0,000002cc,21e0f04f
75,75,0,ff5e,0,000002d0,47706188
76,76,0,ff5e,0,000002d4,2000b510
77,77,0,ff5e,0,000002d8,fff0f7ff
78,78,0,ff5e,0,000003b4,00000000
79,79,0,ff5e,0,000003b8,f7ff2007
80,80,0,ff5e,0,000003bc,bf30ff7f
81,81,0,ff5e,0,000003bc,00000000
82,82,0,ff5e,0,000002b8,b530bd00
83,83,0,ff5e,0,000002bc,21e0f04f
84,84,0,ff5e,0,000002c0,47706108
85,85,0,ff5e,0,000002c4,21e0f04f
86,86,0,ff5e,0,000002c8,47706148
87,87,0,ff5e,0,000003b8,00000000
88,88,0,ff5e,0,000003bc,bf30ff7f
89,89,0,ff5e,0,000003c0,b530bd00
90,90,0,ff5e,0,000003c0,00000000
91,91,0,ff5e,0,000003c4,25004604
92,92,0,ff5e,0,000003c8,f44fe005
93,93,0,ff5e,0,000003c8,00000000
94,94,0,ff5e,0,000003c8,00000000
95,95,0,ff5e,0,000003c8,00000000
96,96,0,ff5e,0,000003c8,00000000
97,97,0,ff5e,0,000003c8,00000000
98,98,0,ff5e,0,000003c8,00000000
99,99,0,ff5e,0,000003c8,00000000
100,100,0,ff5e,0,000003c8,00000000
101,101,0,ff5e,0,000003c8,00000000
102,102,0,ff5e,0,000003c8,00000000
103,103,0,ff5e,0,000003c8,00000000
104,104,0,ff5e,0,000003c8,00000000
105,105,0,ff5e,0,000003c8,00000000
106,106,0,ff5e,0,000003c8,00000000
107,107,0,ff5e,0,000003c8,00000000
108,108,0,ff5e,0,000003c8,00000000
109,109,0,ff5e,0,000003c8,00000000
110,110,0,ff5e,0,000003c8,00000000
111,111,0,ff5e,0,000003c8,00000000
112,112,0,ff5e,0,000003c8,00000000
113,113,0,ff5e,0,000003c8,00000000
114,114,0,ff5e,0,000003c8,00000000
115,115,0,ff5e,0,000003c8,00000000
116,116,0,ff5e,0,000003c8,00000000
117,117,0,ff5e,0,000003c8,00000000
118,118,0,ff5e,0,000003c8,00000000
119,119,0,ff5e,0,000003c8,00000000
120,120,0,ff5e,0,000003c8,00000000
121,121,0,ff5e,0,000003c8,00000000
122,122,0,ff5e,0,000003c8,00000000
123,123,0,ff5e,0,000003c8,00000000
124,124,0,ff5e,0,000003c8,00000000
125,125,0,ff5e,0,000003c8,00000000
126,126,0,ff5e,0,000003c8,00000000
127,127,0,ff5e,0,000003c8,00000000
128,128,0,ff5e,0,000003c8,00000000
129,129,0,ff5e,0,000003c8,00000000
130,130,0,ff5e,0,000003c8,00000000
131,131,0,ff5e,0,000003c8,00000000
132,132,0,ff5e,0,000003c8,00000000
133,133,0,ff5e,0,000003c8,00000000
134,134,0,ff5e,0,000003c8,00000000
135,135,0,ff5e,0,000003c8,00000000
136,136,0,ff5e,0,000003c8,00000000
137,137,0,ff5e,0,000003c8,00000000
138,138,0,ff5e,0,000003c8,00000000
139,139,0,ff5e,0,000003c8,00000000
140,140,0,ff5e,0,000003c8,00000000
141,141,0,ff5e,0,000003c8,00000000
142,142,0,ff5e,0,000003c8,00000000
143,143,0,ff5e,0,0000003c,00000000
144,144,0,ff5e,0,000003c8,000002ed
145,145,0,ff5e,0,000002f0,00000000
146,146,0,ff5e,0,000002f0,00000000
147,147,0,ff5e,0,000002ec,00000000
148,148,0,ff5e,0,000002f0,68004802
149,149,0,ff5e,0,000002f4,49011c40
150,150,0,ff5e,0,000002f8,47706008
