Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,ff5e,0,0000029c,00000000
1,1,0,ff5e,0,0000029c,00000000
2,2,0,ff5e,0,0000037c,00000000
3,3,0,ff5e,0,00000380,f7ff4610
4,4,0,ff5e,0,00000384,2000ff89
5,5,0,ff5e,0,00000384,00000000
6,6,0,ff5e,0,00000294,ff8af7ff
7,7,0,ff5e,0,00000298,21e0f04f
8,8,0,ff5e,0,0000029c,47706148
9,9,0,ff5e,0,000002a0,21e0f04f
10,10,0,ff5e,0,000002a4,47706188
11,11,0,ff5e,0,00000380,00000000
12,12,0,ff5e,0,00000384,2000ff89
13,13,0,ff5e,0,00000388,ff8af7ff
14,14,0,ff5e,0,00000388,00000000
15,15,0,ff5e,0,0000029c,f7ff2007
16,16,0,ff5e,0,000002a0,21e0f04f
17,17,0,ff5e,0,000002a4,47706188
18,18,0,ff5e,0,000002a8,2000b510
19,19,0,ff5e,0,000002ac,fff0f7ff
20,20,0,ff5e,0,00000388,00000000
21,21,0,ff5e,0,0000038c,f7ff2007
22,22,0,ff5e,0,00000390,bf30ff7f
23,23,0,ff5e,0,00000390,00000000
24,24,0,ff5e,0,0000028c,b530bd00
25,25,0,ff5e,0,00000290,21e0f04f
26,26,0,ff5e,0,00000294,47706108
27,27,0,ff5e,0,00000298,21e0f04f
28,28,0,ff5e,0,0000029c,47706148
29,29,0,ff5e,0,0000038c,00000000
30,30,0,ff5e,0,00000390,bf30ff7f
31,31,0,ff5e,0,00000394,b530bd00
32,32,0,ff5e,0,00000394,00000000
33,33,0,ff5e,0,00000398,25004604
34,34,0,ff5e,0,0000039c,f44fe005
35,35,0,ff5e,0,0000039c,00000000
36,36,0,ff5e,0,0000039c,00000000
37,37,0,ff5e,0,0000039c,00000000
38,38,0,ff5e,0,0000039c,00000000
39,39,0,ff5e,0,0000039c,00000000
40,40,0,ff5e,0,0000039c,00000000
41,41,0,ff5e,0,0000039c,00000000
42,42,0,ff5e,0,0000039c,00000000
43,43,0,ff5e,0,0000039c,00000000
44,44,0,ff5e,0,0000039c,00000000
45,45,0,ff5e,0,0000039c,00000000
46,46,0,ff5e,0,0000039c,00000000
47,47,0,ff5e,0,0000039c,00000000
48,48,0,ff5e,0,0000039c,00000000
49,49,0,ff5e,0,0000039c,00000000
50,50,0,ff5e,0,0000039c,00000000
51,51,0,ff5e,0,0000039c,00000000
52,52,0,ff5e,0,0000039c,00000000
53,53,0,ff5e,0,0000039c,00000000
54,54,0,ff5e,0,0000039c,00000000
55,55,0,ff5e,0,0000039c,00000000
56,56,0,ff5e,0,0000039c,00000000
57,57,0,ff5e,0,0000039c,00000000
58,58,0,ff5e,0,0000039c,00000000
59,59,0,ff5e,0,0000039c,00000000
60,60,0,ff5e,0,0000039c,00000000
61,61,0,ff5e,0,0000039c,00000000
62,62,0,ff5e,0,0000039c,00000000
63,63,0,ff5e,0,0000039c,00000000
64,64,0,ff5e,0,0000039c,00000000
65,65,0,ff5e,0,0000039c,00000000
66,66,0,ff5e,0,0000039c,00000000
67,67,0,ff5e,0,0000039c,00000000
68,68,0,ff5e,0,0000039c,00000000
69,69,0,ff5e,0,0000039c,00000000
70,70,0,ff5e,0,0000039c,00000000
71,71,0,ff5e,0,0000039c,00000000
72,72,0,ff5e,0,0000039c,00000000
73,73,0,ff5e,0,0000039c,00000000
74,74,0,ff5e,0,0000039c,00000000
75,75,0,ff5e,0,0000039c,00000000
76,76,0,ff5e,0,0000039c,00000000
77,77,0,ff5e,0,0000039c,00000000
78,78,0,ff5e,0,0000039c,00000000
79,79,0,ff5e,0,0000039c,00000000
80,80,0,ff5e,0,0000039c,00000000
81,81,0,ff5e,0,0000039c,00000000
82,82,0,ff5e,0,0000039c,00000000
83,83,0,ff5e,0,0000039c,00000000
84,84,0,ff5e,0,0000039c,00000000
85,85,0,ff5e,0,0000003c,00000000
86,86,0,ff5e,0,0000039c,000002c1
87,87,0,ff5e,0,000002c4,00000000
88,88,0,ff5e,0,000002c4,00000000
89,89,0,ff5e,0,000002c0,00000000
90,90,0,ff5e,0,000002c4,68004802
91,91,0,ff5e,0,000002c8,49011c40
92,92,0,ff5e,0,000002cc,47706008
93,93,0,ff5e,0,000002cc,00000000
94,94,0,ff5e,0,000002cc,00000000
95,95,0,ff5e,0,000002cc,00000000
96,96,0,ff5e,0,000002cc,20000004
97,97,0,ff5e,0,000002cc,00000000
98,98,0,ff5e,0,000002d0,00000000
99,99,0,ff5e,0,000002d0,20000004
100,100,0,ff5e,0,000002d4,4811b51f
101,101,0,ff5e,0,000002d4,00000000
102,102,0,ff5e,0,000002d4,20000004
103,103,0,ff5e,0,1ffffff8,00000000
104,104,0,ff5e,0,1ffffffc,00000000
105,105,0,ff5e,0,1ffffffc,00000000
106,106,0,ff5e,0,1ffffffc,00000000
107,107,0,ff5e,0,00000390,00000000
108,108,0,ff5e,0,00000394,00000000
109,109,0,ff5e,0,00000394,b530bd00
110,110,0,ff5e,0,00000398,25004604
111,111,0,ff5e,0,0000039c,f44fe005
112,112,0,ff5e,0,0000039c,00000000
113,113,0,ff5e,0,0000039c,00000000
114,114,0,ff5e,0,0000039c,00000000
115,115,0,ff5e,0,0000039c,00000000
116,116,0,ff5e,0,000003b8,00000000
117,117,0,ff5e,0,000003bc,1c60ffdc
118,118,0,ff5e,0,000003c0,429cb284
119,119,0,ff5e,0,000003c4,bd10dbf8
120,120,0,ff5e,0,000003c8,4821b086
121,121,0,ff5e,0,000003b4,f44f6800
122,122,0,ff5e,0,000003b8,f7ff2032
123,123,0,ff5e,0,000003bc,1c60ffdc
124,124,0,ff5e,0,00000370,429cb284
125,125,0,ff5e,0,00000374,b5004770
126,126,0,ff5e,0,00000378,20004602
127,127,0,ff5e,0,0000037c,ff88f7ff
128,128,0,ff5e,0,00000380,f7ff4610
129,129,0,ff5e,0,00000380,00000000
130,130,0,ff5e,0,0000028c,2000ff89
131,131,0,ff5e,0,00000290,21e0f04f
132,132,0,ff5e,0,00000294,47706108
133,133,0,ff5e,0,00000298,21e0f04f
134,134,0,ff5e,0,0000029c,47706148
135,135,0,ff5e,0,0000037c,00000000
136,136,0,ff5e,0,0000003c,00000000
137,137,0,ff5e,0,00000380,000002c1
138,138,0,ff5e,0,000002c4,00000000
139,139,0,ff5e,0,000002c4,00000000
140,140,0,ff5e,0,000002c0,00000000
141,141,0,ff5e,0,000002c4,68004802
142,142,0,ff5e,0,000002c8,49011c40
143,143,0,ff5e,0,000002cc,47706008
144,144,0,ff5e,0,000002cc,00000000
145,145,0,ff5e,0,000002cc,00000000
146,146,0,ff5e,0,000002cc,00000000
147,147,0,ff5e,0,000002cc,20000004
148,148,0,ff5e,0,000002cc,00000000
149,149,0,ff5e,0,000002d0,00000000
150,150,0,ff5e,0,000002d0,20000004
151,151,0,ff5e,0,000002d4,4811b51f
152,152,0,ff5e,0,000002d4,00000000
153,153,0,ff5e,0,000002d4,20000004
154,154,0,ff5e,0,1ffffff8,00000000
155,155,0,ff5e,0,1ffffffc,00000000
156,156,0,ff5e,0,1ffffffc,00000000
